Date,Open,High,Low,Close,Adj Close,Volume
2/24/2021,84.330002,87.089996,82.809998,86.940002,86.940002,40821200
2/25/2021,86.169998,87.089996,81.919998,82.419998,82.419998,54625100
2/26/2021,83.57,85.589996,82.910004,84.510002,84.510002,48962900
3/1/2021,85.370003,86.5,83.970001,86.389999,86.389999,32746200
3/2/2021,86.919998,86.949997,84.040001,84.129997,84.129997,34828200
3/3/2021,84.279999,84.379997,80.849998,80.860001,80.860001,43541000
3/4/2021,80.230003,81.809998,76.779999,77.75,77.75,60549400
3/5/2021,79,79.480003,74.199997,78.519997,78.519997,58548900
3/8/2021,78.029999,79,73.860001,73.959999,73.959999,54563900
3/9/2021,76.730003,79.220001,75.769997,78.529999,78.529999,45088300
3/10/2021,79.75,80.040001,77.410004,77.519997,77.519997,45416600
3/11/2021,79.400002,81.889999,79.370003,81.230003,81.230003,43583700
3/12/2021,79.730003,81.190002,79.230003,81.050003,81.050003,32938000
3/15/2021,81.910004,83.389999,81.199997,82.5,82.5,39086800
3/16/2021,83.660004,84.75,82.260002,82.75,82.75,42971600
3/17/2021,81.75,83.25,80.410004,82.629997,82.629997,43320600
3/18/2021,81.059998,81.620003,78.010002,78.120003,78.120003,51036500
3/19/2021,78.489998,79.339996,77.589996,79.059998,79.059998,42283400
3/22/2021,79.989998,81.269997,79.220001,80.300003,80.300003,39648600
3/23/2021,80.129997,80.339996,77.949997,78.379997,78.379997,40466600
3/24/2021,77.550003,78.800003,76.400002,76.480003,76.480003,43753600
3/25/2021,75.849998,76.949997,74.959999,76.220001,76.220001,44735100
3/26/2021,76.620003,77.5,75.029999,77.410004,77.410004,49148700
3/29/2021,77.029999,78.019997,76.260002,77.139999,77.139999,37144300
3/30/2021,76.470001,76.559998,74.849998,76,76,39169300
3/31/2021,76.57,79.129997,76.519997,78.5,78.5,43659500
4/1/2021,80.160004,81.309998,79.480003,81.089996,81.089996,40182400
4/5/2021,81.739998,81.900002,80.389999,81.43,81.43,32610600
4/6/2021,81.209999,82.459999,80.879997,81.440002,81.440002,29327900
4/7/2021,81.32,83.099998,80.349998,82.199997,82.199997,35590900
4/8/2021,83.32,83.790001,82.440002,83.349998,83.349998,41925300
4/9/2021,82.800003,83.589996,82.160004,82.760002,82.760002,32759900
4/12/2021,82.059998,82.18,78.029999,78.580002,78.580002,62098800
4/13/2021,79.669998,80.720001,78.980003,80.190002,80.190002,37767300
4/14/2021,79.879997,80.129997,77.940002,78.550003,78.550003,34263800
4/15/2021,80.32,83.949997,79.970001,83.010002,83.010002,68942800
4/16/2021,83.300003,83.589996,81.529999,82.150002,82.150002,47280600
4/19/2021,82.129997,83.18,80.389999,81.110001,81.110001,39115500
